canton,canton_norm,area_km2,n_sismos,mag_max,prof_media_km,energia_total_j,primer_sismo,ultimo_sismo,n_sismos_someros,energia_somera_j,mag_max_somera,provincia,poblacion_2022,densidad_hab_km2
24 de Mayo,24 DE MAYO,529.6346134071922,8.0,5.1,42.795,5375628890739.578,1995-02-14 12:25:37.040000+00:00,2017-11-10 06:56:42.150000+00:00,7.0,4874441657112.307,5.1,Manabí,31473.0,59.42398627901424
Aguarico,AGUARICO,11240.051156777627,2.0,4.4,21.5,314284377598.97766,1985-12-15 06:03:30.950000+00:00,2021-11-03 17:23:40.140000+00:00,2.0,314284377598.97766,4.4,Orellana,6872.0,0.6113851177497764
Alausi,ALAUSI,1668.1875761954916,11.0,6.2,80.50090909090909,128692024185925.06,1983-12-24 08:35:38.040000+00:00,2020-09-30 00:46:44.693000+00:00,3.0,695127126197.9087,4.5,Chimborazo,37275.0,22.344609522275817
Alfredo Baquerizo Moreno,ALFREDO BAQUERIZO MORENO,220.19374386158694,4.0,4.7,92.73,1329712208434.983,1997-05-25 22:22:43.710000+00:00,2017-11-06 06:06:48.910000+00:00,0.0,0.0,,Guayas,25526.0,115.9251827610759
Ambato,AMBATO,1024.6106302497733,3.0,4.8,86.41666666666667,1188988275627.4365,1992-12-28 06:32:33.480000+00:00,2018-02-19 01:09:39.440000+00:00,1.0,63095734448.019424,4.0,Tungurahua,370664.0,361.760837782487
Antonio Ante,ANTONIO ANTE,82.619934115215,0.0,,,0.0,,,0.0,0.0,,Imbabura,53771.0,650.8235642625345
Arajuno,ARAJUNO,8881.36329881512,49.0,7.1,178.40997959183673,3125408616301323.5,1987-09-06 06:54:00.260000+00:00,2026-03-15 18:31:38.700000+00:00,3.0,1429016584154.8506,4.8,Pastaza,9553.0,1.0756231536294079
Archidona,ARCHIDONA,3042.473262932306,9.0,5.1,17.389111111111113,9385972327311.812,1989-10-06 21:15:41.630000+00:00,2025-12-19 21:59:54.472000+00:00,9.0,9385972327311.812,5.1,Napo,30488.0,10.020794717063827
Arenillas,ARENILLAS,811.9583813252378,5.0,5.3,49.6206,6783134356947.648,1985-02-05 08:56:09.290000+00:00,2025-02-04 07:45:13.544000+00:00,4.0,6281947123320.377,5.3,El Oro,32366.0,39.861649001238014
Atacames,ATACAMES,511.8631113587205,6.0,5.2,28.743333333333336,6499213383503.21,1996-06-18 04:49:50.130000+00:00,2016-12-20 10:49:58.210000+00:00,6.0,6499213383503.21,5.2,Esmeraldas,51204.0,100.03455780214557
Atahualpa,ATAHUALPA,280.81938083885194,2.0,4.9,47.95,1590365485626.6477,2011-09-02 03:46:09.310000+00:00,2023-02-01 02:54:27.922000+00:00,1.0,177827941003.89227,4.3,El Oro,6112.0,21.764879552623785
Azogues,AZOGUES,616.6592125007529,3.0,4.7,90.02666666666666,1011666266567.4497,1985-06-01 10:39:34.090000+00:00,2022-01-18 21:56:50.349000+00:00,0.0,0.0,,Cañar,74515.0,120.83659578816237
Baba,BABA,520.9644071546659,0.0,,,0.0,,,0.0,0.0,,Los Ríos,45296.0,86.94643890816202
Babahoyo,BABAHOYO,1094.5439959653208,0.0,,,0.0,,,0.0,0.0,,Los Ríos,178509.0,163.08983527205407
Balao,BALAO,411.5286448067652,13.0,6.8,36.118153846153845,1026425347501817.2,1990-03-01 04:28:50.510000+00:00,2023-04-25 05:36:00.112000+00:00,12.0,1025924160268190.0,6.8,Guayas,25655.0,62.34073939627313
Balsas,BALSAS,69.47899392467643,0.0,,,0.0,,,0.0,0.0,,El Oro,7875.0,113.34361013542375
Balzar,BALZAR,1196.0533199663957,0.0,,,0.0,,,0.0,0.0,,Guayas,57829.0,48.34985116016798
Baños de Agua Santa,BANOS DE AGUA SANTA,1071.1523325406204,1.0,4.0,10.0,63095734448.019424,1994-03-23 18:34:01.520000+00:00,1994-03-23 18:34:01.520000+00:00,1.0,63095734448.019424,4.0,Tungurahua,21908.0,20.45273985263828
Biblian,BIBLIAN,228.38760621979645,1.0,4.4,89.3,251188643150.95822,2003-06-03 12:18:35.510000+00:00,2003-06-03 12:18:35.510000+00:00,0.0,0.0,,Cañar,18852.0,82.54388367229151
Bolivar,BOLIVAR,358.44932502900247,3.0,4.6,33.104,1357187856488.1191,1998-08-04 20:04:09.570000+00:00,2022-08-21 13:18:38.420000+00:00,3.0,1357187856488.1191,4.6,Carchi,15677.0,43.735610322969805
Bolivar,BOLIVAR,541.869134075796,3.0,4.6,33.104,1357187856488.1191,1998-08-04 20:04:09.570000+00:00,2022-08-21 13:18:38.420000+00:00,3.0,1357187856488.1191,4.6,Carchi,15677.0,28.931339716809042
Buena Fe,BUENA FE,584.9214912630474,0.0,,,0.0,,,0.0,0.0,,Los Ríos,74410.0,127.21365364661696
Caluma,CALUMA,177.58623817683755,0.0,,,0.0,,,0.0,0.0,,Bolívar,15607.0,87.88406218987981
Calvas,CALVAS,846.552526525481,1.0,4.3,10.0,177827941003.89227,1991-01-03 09:56:05.780000+00:00,1991-01-03 09:56:05.780000+00:00,1.0,177827941003.89227,4.3,Loja,26042.0,30.76241483429811
Camilo Ponce Enriquez,CAMILO PONCE ENRIQUEZ,644.0661625986714,5.0,5.1,65.924,4697126754030.954,1998-03-26 16:12:50.410000+00:00,2015-07-04 11:29:26.010000+00:00,3.0,4320045569700.579,5.1,Azuay,22810.0,35.415616165839936
