,,,,,,
,,,,,,
,Tabla N°:,1.1 ,,,,
,Nombre de la tabla:,"Población por sexo al nacer, según provincia, cantón y área de residencia",,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,
,,,,,,
,,,,,,
Índice,"Provincia, cantón y área de residencia",,,Número total de personas ,Sexo al nacer,
,,,,,Hombres,Mujeres
,,,,,,
,Total Nacional,Nacional,Nacional,"16,938,986","8,252,523","8,686,463"
,Total Nacional,Nacional,Urbana,"10,687,151","5,161,870","5,525,281"
,Total Nacional,Nacional,Rural,"6,251,835","3,090,653","3,161,182"
,Azuay,Total Azuay,Total Azuay,"801,609","376,419","425,190"
,Azuay,Total Azuay,Urbana,"420,141","198,877","221,264"
,Azuay,Total Azuay,Rural,"381,468","177,542","203,926"
,Azuay,Cuenca,Total Cuenca,"596,101","281,823","314,278"
,Azuay,Cuenca,Urbana,"361,524","171,684","189,840"
,Azuay,Cuenca,Rural,"234,577","110,139","124,438"
,Azuay,Girón,Total Girón,"12,182","5,532","6,650"
,Azuay,Girón,Urbana,"4,353","1,952","2,401"
,Azuay,Girón,Rural,"7,829","3,580","4,249"
,Azuay,Gualaceo,Total Gualaceo,"43,188","19,421","23,767"
,Azuay,Gualaceo,Urbana,"13,843","6,307","7,536"
,Azuay,Gualaceo,Rural,"29,345","13,114","16,231"
,Azuay,Nabón,Total Nabón,"14,776","6,729","8,047"
,Azuay,Nabón,Urbana,"1,276",550,726
,Azuay,Nabón,Rural,"13,500","6,179","7,321"
,Azuay,Paute,Total Paute,"26,782","12,201","14,581"
,Azuay,Paute,Urbana,"8,766","4,030","4,736"
,Azuay,Paute,Rural,"18,016","8,171","9,845"
,Azuay,Pucará,Total Pucará,"9,693","4,604","5,089"
,Azuay,Pucará,Urbana,855,416,439
,Azuay,Pucará,Rural,"8,838","4,188","4,650"
,Azuay,San Fernando,Total San Fernando,"3,738","1,656","2,082"
,Azuay,San Fernando,Urbana,"1,407",637,770
,Azuay,San Fernando,Rural,"2,331","1,019","1,312"
,Azuay,Santa Isabel,Total Santa Isabel,"20,753","9,914","10,839"
,Azuay,Santa Isabel,Urbana,"6,194","2,948","3,246"
,Azuay,Santa Isabel,Rural,"14,559","6,966","7,593"
,Azuay,Sígsig,Total Sígsig,"24,992","11,016","13,976"
,Azuay,Sígsig,Urbana,"4,029","1,851","2,178"
,Azuay,Sígsig,Rural,"20,963","9,165","11,798"
,Azuay,Oña,Total Oña,"3,422","1,575","1,847"
,Azuay,Oña,Urbana,989,456,533
,Azuay,Oña,Rural,"2,433","1,119","1,314"
,Azuay,Chordeleg,Total Chordeleg,"12,197","5,494","6,703"
,Azuay,Chordeleg,Urbana,"4,445","2,086","2,359"
,Azuay,Chordeleg,Rural,"7,752","3,408","4,344"
,Azuay,El Pan,Total El Pan,"2,776","1,280","1,496"
,Azuay,El Pan,Urbana,503,225,278
,Azuay,El Pan,Rural,"2,273","1,055","1,218"
,Azuay,Sevilla de Oro,Total Sevilla de Oro,"4,613","2,167","2,446"
,Azuay,Sevilla de Oro,Urbana,732,345,387
,Azuay,Sevilla de Oro,Rural,"3,881","1,822","2,059"
,Azuay,Guachapala,Total Guachapala,"3,586","1,714","1,872"
,Azuay,Guachapala,Urbana,"1,210",556,654
,Azuay,Guachapala,Rural,"2,376","1,158","1,218"
,Azuay,Camilo Ponce Enríquez,Total Camilo Ponce Enríquez,"22,810","11,293","11,517"
,Azuay,Camilo Ponce Enríquez,Urbana,"10,015","4,834","5,181"
,Azuay,Camilo Ponce Enríquez,Rural,"12,795","6,459","6,336"
,Bolívar,Total Bolívar,Total Bolívar,"199,078","95,873","103,205"
,Bolívar,Total Bolívar,Urbana,"64,172","30,351","33,821"
,Bolívar,Total Bolívar,Rural,"134,906","65,522","69,384"
